open_time,open,high,low,close,volume,time_scale,close_price,weighted_avg_price,average_price
2023-01-01,39508.0,45599.0,39400.0,45067.0,108265266.87066032,43200,45067.0,42928.2,42393.5
2023-01-31,45067.0,61998.0,44400.0,54501.0,110992474.70085584,43200,54501.0,52093.4,51491.5
2023-03-02,54539.0,57635.0,44140.0,54190.0,107907454.53739741,43200,54190.0,52938.8,52626.0
2023-04-01,54220.0,55200.0,50614.0,55158.0,85361006.56,43200,55158.0,54070.0,53798.0
2023-05-01,55158.0,57000.0,51100.0,51895.0,73357079.28,43200,51895.0,53409.6,53788.25
2023-05-31,51893.0,56714.0,46901.0,50340.0,84231027.98,43200,50340.0,51237.600000000006,51462.0
2023-06-30,50344.0,51900.0,48530.0,49265.0,83489108.86,43200,49265.0,49860.8,50009.75
2023-07-30,49226.0,50714.0,48602.0,49671.0,62199774.98,43200,49671.0,49576.8,49553.25
2023-08-29,49673.0,50650.0,49394.0,49998.0,49189593.26,43200,49998.0,49942.600000000006,49928.75
2023-09-28,49998.0,54497.0,49901.0,51931.0,74996278.78,43200,51931.0,51651.600000000006,51581.75
2023-10-28,51893.0,52553.0,50500.0,50852.0,110658396.96,43200,50852.0,51330.0,51449.5
2023-11-27,50852.0,51088.0,49700.0,50838.0,110092573.18,43200,50838.0,50663.2,50619.5
2023-12-27,50838.0,51170.0,50400.0,50989.0,16572179.2,43200,50989.0,50877.2,50849.25
